customer_id,signup_date,city,age_group
105,2024-09-21,Delhi,26-35
106,2024-08-15,Ludhiana,18-25
107,2025-11-14,Jalandhar,26-35
108,2025-04-21,Delhi,26-35
109,2025-09-28,Jalandhar,18-25
110,2025-03-03,Ludhiana,26-35
111,2024-12-19,Ludhiana,36-45
112,2024-10-23,Ludhiana,18-25
113,2025-04-17,Delhi,26-35
114,2026-03-13,Jalandhar,36-45
115,2025-05-01,Amritsar,26-35
116,2025-04-15,Delhi,18-25
117,2025-09-11,Jalandhar,26-35
118,2026-07-14,Ludhiana,26-35
119,2025-04-25,Ludhiana,36-45
120,2025-09-22,Amritsar,26-35
121,2025-05-31,Jalandhar,18-25
122,2025-10-03,Chandigarh,36-45
123,2025-06-04,Chandigarh,46-60
124,2025-10-28,Delhi,18-25
125,2025-08-20,Amritsar,18-25
126,2025-11-27,Chandigarh,18-25
127,2026-06-28,Jalandhar,36-45
128,2024-10-23,Delhi,46-60
129,2025-08-31,Amritsar,18-25
130,2025-05-31,Amritsar,26-35
131,2025-03-30,Delhi,18-25
132,2024-12-30,Delhi,26-35
133,2024-08-09,Jalandhar,46-60
134,2025-05-02,Chandigarh,18-25
135,2026-03-20,Jalandhar,18-25
136,2024-09-12,Amritsar,26-35
137,2025-05-05,Ludhiana,26-35
138,2026-07-06,Jalandhar,36-45
139,2026-06-24,Chandigarh,26-35
140,2024-12-11,Ludhiana,18-25
141,2024-07-06,Chandigarh,26-35
142,2025-11-23,Ludhiana,46-60
143,2024-07-11,Chandigarh,36-45
144,2025-02-14,Ludhiana,18-25
145,2025-07-13,Delhi,36-45
146,2026-04-26,Jalandhar,26-35
147,2024-09-09,Jalandhar,36-45
148,2025-11-16,Jalandhar,18-25
149,2025-08-10,Chandigarh,46-60
150,2024-10-09,Chandigarh,18-25
151,2026-04-04,Amritsar,26-35
152,2026-04-04,Jalandhar,36-45
153,2025-07-02,Jalandhar,26-35
154,2026-06-19,Chandigarh,18-25
155,2025-10-05,Amritsar,18-25
156,2026-05-18,Delhi,18-25
157,2026-07-01,Delhi,18-25
158,2025-09-06,Delhi,18-25
159,2025-01-30,Delhi,18-25
160,2024-10-19,Jalandhar,26-35
161,2025-09-01,Amritsar,26-35
162,2024-11-24,Ludhiana,26-35
163,2026-01-22,Amritsar,18-25
164,2026-06-06,Chandigarh,18-25
165,2025-01-03,Chandigarh,26-35
166,2025-08-24,Delhi,36-45
167,2024-08-07,Jalandhar,18-25
168,2024-11-15,Ludhiana,26-35
169,2025-04-13,Delhi,36-45
170,2026-05-03,Chandigarh,26-35
171,2026-07-07,Jalandhar,46-60
172,2025-10-31,Delhi,46-60
173,2025-09-17,Jalandhar,26-35
174,2025-09-06,Jalandhar,36-45
175,2024-08-16,Ludhiana,18-25
176,2025-04-12,Amritsar,18-25
177,2026-07-18,Amritsar,26-35
178,2025-05-09,Jalandhar,26-35
179,2024-12-10,Jalandhar,46-60
180,2024-12-30,Amritsar,18-25
181,2025-12-25,Jalandhar,36-45
182,2024-07-29,Amritsar,26-35
183,2026-07-07,Chandigarh,18-25
184,2026-04-27,Jalandhar,46-60
185,2025-09-05,Amritsar,36-45
186,2025-06-21,Amritsar,18-25
187,2026-01-30,Jalandhar,46-60
188,2025-08-21,Amritsar,18-25
189,2025-06-28,Chandigarh,18-25
190,2025-03-02,Chandigarh,26-35
191,2025-06-05,Chandigarh,46-60
192,2026-01-23,Ludhiana,18-25
193,2024-08-11,Ludhiana,46-60
194,2024-07-20,Amritsar,26-35
195,2025-12-30,Amritsar,18-25
196,2025-04-09,Ludhiana,26-35
197,2026-03-03,Chandigarh,26-35
198,2024-07-24,Jalandhar,26-35
199,2026-05-21,Jalandhar,36-45
200,2024-10-02,Delhi,36-45
201,2025-05-13,Jalandhar,46-60
202,2026-07-06,Chandigarh,18-25
203,2024-09-21,Jalandhar,36-45
204,2025-11-12,Jalandhar,26-35
205,2026-01-05,Delhi,36-45
206,2025-05-22,Ludhiana,46-60
207,2024-08-30,Chandigarh,46-60
208,2025-08-03,Delhi,18-25
209,2025-05-26,Chandigarh,26-35
210,2026-04-25,Ludhiana,46-60
211,2025-12-01,Ludhiana,46-60
212,2025-03-19,Jalandhar,26-35
213,2024-08-14,Chandigarh,46-60
214,2025-09-22,Delhi,26-35
215,2025-01-29,Delhi,26-35
216,2025-12-02,Jalandhar,36-45
217,2026-04-18,Ludhiana,26-35
218,2025-03-28,Chandigarh,26-35
219,2026-05-18,Delhi,26-35
220,2025-07-30,Jalandhar,26-35
221,2025-08-08,Delhi,18-25
222,2026-02-02,Amritsar,18-25
223,2026-02-20,Jalandhar,36-45
224,2026-05-22,Amritsar,26-35
225,2026-07-30,Jalandhar,36-45
226,2024-10-23,Jalandhar,36-45
227,2025-05-10,Chandigarh,18-25
228,2026-06-10,Delhi,18-25
229,2025-02-19,Chandigarh,18-25
230,2024-07-04,Delhi,26-35
231,2025-09-11,Ludhiana,36-45
232,2026-01-24,Amritsar,26-35
233,2026-01-16,Chandigarh,26-35
234,2026-03-09,Jalandhar,26-35
235,2025-11-02,Amritsar,18-25
236,2024-10-12,Chandigarh,18-25
237,2026-04-05,Delhi,36-45
238,2025-05-15,Amritsar,36-45
239,2026-04-06,Delhi,18-25
240,2026-03-12,Chandigarh,26-35
241,2026-07-08,Ludhiana,18-25
242,2024-07-11,Delhi,26-35
243,2026-04-20,Delhi,26-35
244,2025-10-21,Amritsar,18-25
245,2025-07-04,Ludhiana,26-35
246,2026-02-23,Ludhiana,26-35
247,2026-06-24,Amritsar,26-35
248,2025-07-25,Amritsar,18-25
249,2024-09-05,Amritsar,36-45
250,2026-01-03,Ludhiana,18-25
251,2024-12-23,Amritsar,46-60
252,2024-12-20,Jalandhar,18-25
253,2024-11-24,Amritsar,18-25
254,2024-11-28,Delhi,18-25
255,2026-05-23,Delhi,46-60
256,2025-04-02,Delhi,18-25
257,2024-09-19,Ludhiana,26-35
258,2024-11-14,Amritsar,46-60
259,2025-04-27,Delhi,46-60
260,2025-03-21,Delhi,18-25
261,2025-02-21,Jalandhar,26-35
262,2026-06-21,Amritsar,26-35
263,2026-04-20,Jalandhar,36-45
264,2025-09-09,Ludhiana,26-35
265,2026-07-20,Jalandhar,26-35
266,2025-03-16,Delhi,18-25
267,2024-10-13,Delhi,18-25
268,2025-01-23,Delhi,26-35
269,2024-09-06,Ludhiana,18-25
270,2026-06-24,Jalandhar,18-25
271,2024-12-14,Amritsar,26-35
272,2025-06-03,Ludhiana,18-25
273,2024-12-01,Jalandhar,18-25
274,2026-07-16,Delhi,46-60
275,2024-10-29,Ludhiana,26-35
276,2025-07-27,Amritsar,18-25
277,2026-06-23,Ludhiana,36-45
278,2025-08-01,Delhi,18-25
279,2026-05-15,Amritsar,18-25
280,2026-05-13,Ludhiana,46-60
281,2026-02-04,Amritsar,46-60
282,2026-01-16,Delhi,26-35
283,2025-09-12,Chandigarh,18-25
284,2025-09-15,Chandigarh,26-35
285,2026-03-24,Ludhiana,18-25
286,2025-05-21,Ludhiana,18-25
287,2026-06-19,Chandigarh,18-25
288,2026-04-29,Jalandhar,18-25
289,2025-04-11,Delhi,26-35
290,2025-05-09,Ludhiana,18-25
291,2025-12-25,Amritsar,18-25
292,2026-06-02,Delhi,46-60
293,2024-09-12,Jalandhar,26-35
294,2024-08-22,Amritsar,26-35
295,2025-01-05,Jalandhar,18-25
296,2025-05-23,Amritsar,36-45
297,2024-11-01,Ludhiana,36-45
298,2025-07-30,Delhi,26-35
299,2025-08-16,Delhi,26-35
300,2026-06-23,Jalandhar,18-25
301,2026-01-18,Ludhiana,18-25
302,2025-01-07,Delhi,26-35
303,2026-02-18,Jalandhar,46-60
304,2026-03-05,Amritsar,36-45
305,2025-11-29,Ludhiana,26-35
306,2025-11-27,Jalandhar,26-35
307,2025-02-21,Chandigarh,18-25
308,2025-12-27,Amritsar,46-60
309,2024-10-11,Amritsar,18-25
310,2025-10-22,Amritsar,18-25
311,2026-06-01,Delhi,36-45
312,2026-07-09,Delhi,36-45
313,2025-02-12,Ludhiana,36-45
314,2025-03-10,Delhi,26-35
315,2025-10-14,Chandigarh,18-25
316,2025-04-29,Chandigarh,18-25
317,2026-01-07,Ludhiana,46-60
318,2024-12-02,Amritsar,46-60
319,2024-11-06,Jalandhar,18-25
320,2024-08-08,Chandigarh,46-60
321,2025-06-22,Delhi,26-35
322,2024-12-09,Delhi,26-35
323,2025-02-13,Ludhiana,26-35
324,2026-05-27,Amritsar,18-25
325,2026-03-11,Jalandhar,26-35
326,2026-03-31,Delhi,18-25
327,2025-09-24,Ludhiana,36-45
328,2024-09-24,Chandigarh,26-35
329,2026-01-19,Ludhiana,46-60
330,2025-10-02,Jalandhar,46-60
331,2026-05-22,Jalandhar,26-35
332,2025-06-30,Chandigarh,18-25
333,2024-11-09,Chandigarh,46-60
334,2025-09-25,Jalandhar,26-35
335,2025-06-12,Ludhiana,18-25
336,2025-11-14,Amritsar,18-25
337,2025-04-12,Jalandhar,46-60
338,2025-02-19,Delhi,26-35
339,2024-10-04,Amritsar,18-25
340,2026-07-01,Amritsar,26-35
341,2026-01-25,Jalandhar,26-35
342,2025-06-20,Ludhiana,26-35
343,2024-12-26,Amritsar,46-60
344,2025-10-21,Chandigarh,46-60
345,2025-05-10,Jalandhar,18-25
346,2025-10-26,Jalandhar,18-25
347,2024-09-07,Chandigarh,26-35
348,2024-11-17,Delhi,36-45
349,2026-01-10,Delhi,26-35
350,2024-08-17,Delhi,36-45
351,2025-11-27,Jalandhar,26-35
352,2025-05-09,Amritsar,18-25
353,2024-07-03,Amritsar,36-45
354,2026-02-01,Amritsar,18-25
355,2025-12-14,Chandigarh,36-45
356,2026-03-12,Delhi,18-25
357,2026-05-12,Chandigarh,26-35
358,2026-01-06,Delhi,46-60
359,2026-04-01,Ludhiana,26-35
360,2024-09-25,Ludhiana,18-25
361,2026-05-30,Chandigarh,26-35
362,2026-05-26,Chandigarh,36-45
363,2025-12-10,Amritsar,18-25
364,2026-03-02,Chandigarh,18-25
365,2026-01-15,Chandigarh,18-25
366,2026-04-29,Delhi,26-35
367,2026-05-07,Delhi,26-35
368,2025-08-02,Jalandhar,26-35
369,2026-03-13,Delhi,18-25
370,2026-05-27,Chandigarh,36-45
371,2025-02-11,Chandigarh,18-25
372,2024-08-05,Delhi,46-60
373,2024-11-07,Jalandhar,46-60
374,2024-07-24,Chandigarh,26-35
375,2025-05-27,Chandigarh,26-35
376,2024-07-16,Delhi,46-60
377,2025-01-13,Amritsar,18-25
378,2025-01-09,Jalandhar,36-45
379,2025-12-20,Chandigarh,18-25
380,2025-01-05,Jalandhar,36-45
381,2026-06-22,Jalandhar,26-35
382,2024-11-20,Chandigarh,26-35
383,2026-07-09,Chandigarh,46-60
384,2025-09-04,Chandigarh,18-25
385,2025-01-02,Chandigarh,36-45
386,2024-07-30,Jalandhar,26-35
387,2025-02-18,Chandigarh,26-35
388,2025-09-22,Delhi,26-35
389,2024-09-21,Jalandhar,18-25
390,2024-11-04,Amritsar,18-25
391,2024-09-26,Ludhiana,26-35
392,2025-11-28,Ludhiana,18-25
393,2024-09-05,Chandigarh,36-45
394,2024-07-17,Jalandhar,46-60
395,2025-06-12,Chandigarh,46-60
396,2025-02-22,Chandigarh,46-60
397,2025-09-07,Delhi,36-45
398,2026-06-14,Delhi,18-25
399,2026-04-13,Ludhiana,46-60
400,2025-08-14,Ludhiana,18-25
401,2025-11-01,Jalandhar,46-60
402,2026-03-09,Delhi,46-60
403,2025-05-29,Chandigarh,26-35
404,2025-11-13,Jalandhar,26-35
405,2024-12-12,Delhi,18-25
406,2025-10-08,Jalandhar,26-35
407,2024-12-28,Ludhiana,18-25
408,2024-11-23,Delhi,18-25
409,2026-01-30,Jalandhar,18-25
410,2025-09-10,Amritsar,36-45
411,2025-04-13,Amritsar,46-60
412,2024-07-31,Delhi,18-25
413,2024-12-28,Jalandhar,18-25
414,2026-03-02,Chandigarh,18-25
415,2025-06-21,Amritsar,18-25
416,2026-06-30,Delhi,18-25
417,2026-05-16,Chandigarh,26-35
418,2026-04-11,Chandigarh,26-35
419,2024-07-13,Delhi,26-35
420,2024-08-08,Chandigarh,18-25
421,2025-09-13,Delhi,36-45
422,2025-03-15,Amritsar,18-25
423,2026-04-01,Jalandhar,26-35
424,2025-02-27,Amritsar,26-35
425,2024-10-25,Delhi,46-60
426,2024-09-24,Ludhiana,18-25
427,2025-02-15,Ludhiana,36-45
428,2025-10-20,Amritsar,26-35
429,2024-10-04,Delhi,46-60
430,2026-02-27,Jalandhar,26-35
431,2025-02-15,Delhi,26-35
432,2025-02-24,Delhi,46-60
433,2025-11-16,Chandigarh,36-45
434,2026-04-17,Ludhiana,18-25
435,2025-05-28,Ludhiana,18-25
436,2026-02-26,Amritsar,46-60
437,2025-02-17,Delhi,18-25
438,2024-10-07,Chandigarh,26-35
439,2026-03-22,Chandigarh,46-60
440,2026-02-03,Amritsar,18-25
441,2026-01-22,Chandigarh,18-25
442,2026-05-02,Chandigarh,18-25
443,2025-07-14,Chandigarh,18-25
444,2024-11-27,Amritsar,26-35
445,2025-09-18,Jalandhar,26-35
446,2025-09-09,Chandigarh,26-35
447,2025-04-20,Chandigarh,18-25
448,2025-10-29,Delhi,36-45
449,2025-01-17,Ludhiana,36-45
450,2025-10-07,Delhi,26-35
451,2026-02-24,Jalandhar,18-25
452,2024-09-12,Amritsar,26-35
453,2025-06-10,Ludhiana,26-35
454,2025-11-15,Chandigarh,26-35
455,2024-08-08,Ludhiana,46-60
456,2025-10-24,Jalandhar,26-35
457,2026-05-25,Chandigarh,26-35
458,2026-03-19,Chandigarh,18-25
459,2025-12-03,Jalandhar,26-35
460,2026-03-03,Chandigarh,36-45
461,2025-04-01,Chandigarh,36-45
462,2025-03-06,Chandigarh,18-25
463,2024-09-02,Chandigarh,46-60
464,2025-12-31,Ludhiana,36-45
465,2025-02-24,Amritsar,26-35
466,2026-04-21,Delhi,26-35
467,2025-06-20,Jalandhar,36-45
468,2026-05-10,Amritsar,18-25
469,2024-10-14,Chandigarh,26-35
470,2024-10-31,Amritsar,36-45
471,2025-03-21,Jalandhar,26-35
472,2024-07-21,Ludhiana,46-60
473,2025-07-09,Ludhiana,26-35
474,2025-11-07,Ludhiana,26-35
475,2025-11-15,Ludhiana,18-25
476,2024-12-11,Chandigarh,46-60
477,2024-11-02,Amritsar,26-35
478,2025-09-02,Amritsar,36-45
479,2025-10-25,Chandigarh,26-35
480,2026-06-19,Delhi,46-60
481,2026-05-12,Amritsar,46-60
482,2025-04-15,Jalandhar,18-25
483,2024-10-31,Chandigarh,46-60
484,2025-01-09,Amritsar,26-35
485,2026-05-01,Delhi,18-25
486,2025-06-12,Amritsar,26-35
487,2026-07-25,Jalandhar,18-25
488,2025-11-12,Amritsar,26-35
489,2025-09-26,Chandigarh,18-25
490,2024-09-15,Amritsar,26-35
491,2025-09-22,Ludhiana,26-35
492,2025-04-16,Chandigarh,26-35
493,2026-04-03,Chandigarh,36-45
494,2024-10-10,Chandigarh,46-60
495,2024-11-23,Jalandhar,26-35
496,2025-11-16,Delhi,26-35
497,2025-11-30,Ludhiana,18-25
498,2026-03-24,Delhi,26-35
499,2025-08-03,Ludhiana,46-60
500,2025-04-13,Ludhiana,18-25
501,2025-02-18,Chandigarh,46-60
502,2025-04-09,Delhi,36-45
503,2025-11-16,Chandigarh,18-25
504,2025-08-15,Amritsar,36-45
505,2025-02-10,Delhi,18-25
506,2024-12-11,Ludhiana,46-60
507,2025-12-23,Jalandhar,18-25
508,2025-01-05,Ludhiana,18-25
509,2024-12-06,Chandigarh,36-45
510,2025-03-08,Ludhiana,26-35
511,2026-04-10,Jalandhar,18-25
512,2025-06-13,Chandigarh,26-35
513,2025-09-25,Jalandhar,18-25
514,2024-08-31,Jalandhar,26-35
515,2025-03-19,Chandigarh,36-45
516,2026-01-24,Ludhiana,46-60
517,2026-02-08,Ludhiana,18-25
518,2025-09-14,Ludhiana,26-35
519,2026-04-27,Delhi,46-60
520,2025-02-13,Ludhiana,26-35
521,2024-11-02,Jalandhar,36-45
522,2024-08-28,Delhi,18-25
523,2024-11-29,Jalandhar,46-60
524,2026-02-01,Ludhiana,26-35
525,2026-05-19,Ludhiana,46-60
526,2024-10-08,Delhi,36-45
527,2025-07-17,Ludhiana,46-60
528,2024-10-10,Ludhiana,18-25
529,2026-04-03,Ludhiana,36-45
530,2024-10-08,Chandigarh,18-25
531,2025-10-30,Amritsar,18-25
532,2024-08-31,Amritsar,26-35
533,2026-01-13,Delhi,26-35
534,2026-05-20,Ludhiana,26-35
535,2026-01-08,Delhi,46-60
536,2025-01-21,Amritsar,18-25
537,2026-04-01,Ludhiana,18-25
538,2025-02-18,Delhi,26-35
539,2026-01-24,Jalandhar,36-45
540,2026-03-25,Delhi,26-35
541,2025-07-04,Delhi,26-35
542,2025-10-15,Jalandhar,36-45
543,2026-04-11,Amritsar,36-45
544,2024-11-20,Ludhiana,18-25
545,2024-07-15,Amritsar,18-25
546,2025-05-27,Jalandhar,26-35
547,2024-11-15,Chandigarh,46-60
548,2026-05-03,Jalandhar,26-35
549,2026-04-20,Delhi,18-25
550,2025-04-12,Amritsar,26-35
551,2025-02-20,Chandigarh,26-35
552,2025-12-23,Ludhiana,26-35
553,2025-06-10,Ludhiana,26-35
554,2024-09-12,Amritsar,46-60
555,2025-11-16,Jalandhar,26-35
556,2026-01-04,Amritsar,26-35
557,2024-08-23,Chandigarh,26-35
558,2026-02-11,Amritsar,46-60
559,2025-08-10,Jalandhar,36-45
560,2026-03-20,Chandigarh,26-35
561,2026-04-08,Ludhiana,36-45
562,2025-11-25,Jalandhar,26-35
563,2025-03-11,Ludhiana,46-60
564,2025-04-08,Jalandhar,18-25
565,2026-01-02,Ludhiana,18-25
566,2024-08-18,Ludhiana,36-45
567,2024-12-23,Chandigarh,18-25
568,2025-07-30,Chandigarh,36-45
569,2026-06-17,Chandigarh,26-35
570,2026-01-27,Ludhiana,26-35
571,2026-03-12,Jalandhar,18-25
572,2024-11-23,Jalandhar,36-45
573,2025-01-30,Amritsar,18-25
574,2025-01-19,Jalandhar,46-60
575,2026-01-21,Jalandhar,46-60
576,2025-08-12,Jalandhar,26-35
577,2024-12-08,Chandigarh,18-25
578,2026-01-20,Amritsar,46-60
579,2025-10-29,Amritsar,26-35
580,2026-05-13,Amritsar,18-25
581,2025-08-29,Amritsar,26-35
582,2024-10-04,Amritsar,18-25
583,2026-05-07,Chandigarh,26-35
584,2024-11-18,Delhi,26-35
585,2024-08-11,Ludhiana,46-60
586,2026-02-28,Jalandhar,36-45
587,2025-06-08,Jalandhar,18-25
588,2025-11-02,Amritsar,26-35
589,2024-10-07,Amritsar,26-35
590,2025-12-30,Chandigarh,46-60
591,2025-05-05,Chandigarh,18-25
592,2026-07-28,Delhi,26-35
593,2025-10-27,Chandigarh,46-60
594,2026-06-14,Ludhiana,26-35
595,2026-02-23,Chandigarh,18-25
596,2026-04-02,Amritsar,26-35
597,2024-09-05,Chandigarh,26-35
598,2026-02-11,Amritsar,46-60
599,2025-10-02,Delhi,18-25
600,2025-04-27,Delhi,18-25
